,axis:latitude,axis:longitude,axis:time,data:Water_Thickness
120,15.5,-15.500000000000028,2011-01-16T00:00:00,1.5463114976882937
121,15.5,-15.500000000000028,2011-02-16T00:00:00,0.1914631128311157
122,15.5,-15.500000000000028,2011-03-18T00:00:00,-1.2686680555343628
123,15.5,-15.500000000000028,2011-04-18T00:00:00,-2.095926284790039
124,15.5,-15.500000000000028,2011-05-18T00:00:00,-2.59883189201355
125,15.5,-15.500000000000028,2011-06-18T00:00:00,-2.783073663711548
126,15.5,-15.500000000000028,2011-07-18T00:00:00,-2.91142201423645
127,15.5,-15.500000000000028,2011-08-18T00:00:00,-0.2370286881923675
128,15.5,-15.500000000000028,2011-09-17T00:00:00,1.5183401107788086
129,15.5,-15.500000000000028,2011-10-18T00:00:00,1.343418002128601
130,15.5,-15.500000000000028,2011-11-17T00:00:00,1.5028934478759766
131,15.5,-15.500000000000028,2011-12-17T00:00:00,1.1039025783538818
132,15.5,-15.500000000000028,2012-01-16T00:00:00,-0.0816270485520362
133,15.5,-15.500000000000028,2012-02-16T00:00:00,-0.9113073945045472
134,15.5,-15.500000000000028,2012-03-17T00:00:00,-2.006131172180176
135,15.5,-15.500000000000028,2012-04-17T00:00:00,-2.2784550189971924
136,15.5,-15.500000000000028,2012-05-17T00:00:00,-3.3117377758026123
137,15.5,-15.500000000000028,2012-06-17T00:00:00,-3.423774480819702
138,15.5,-15.500000000000028,2012-07-17T00:00:00,-0.8800983428955078
139,15.5,-15.500000000000028,2012-08-17T00:00:00,5.2671637535095215
140,15.5,-15.500000000000028,2012-09-16T00:00:00,10.53873348236084
141,15.5,-15.500000000000028,2012-10-17T00:00:00,7.246504306793213
142,15.5,-15.500000000000028,2012-11-16T00:00:00,3.157249927520752
143,15.5,-15.500000000000028,2012-12-17T00:00:00,1.2434016466140747
144,15.5,-15.500000000000028,2013-01-16T00:00:00,-0.0773524567484855
145,15.5,-15.500000000000028,2013-02-16T00:00:00,-1.1383525133132937
146,15.5,-15.500000000000028,2013-03-18T00:00:00,-2.0791516304016118
147,15.5,-15.500000000000028,2013-04-18T00:00:00,-2.8029918670654297
148,15.5,-15.500000000000028,2013-05-18T00:00:00,-3.2592499256134038
149,15.5,-15.500000000000028,2013-06-18T00:00:00,-3.5582950115203857
150,15.5,-15.500000000000028,2013-07-18T00:00:00,0.2716475427150726
151,15.5,-15.500000000000028,2013-08-18T00:00:00,10.635942459106444
152,15.5,-15.500000000000028,2013-09-17T00:00:00,8.197741508483887
153,15.5,-15.500000000000028,2013-10-18T00:00:00,6.6776885986328125
154,15.5,-15.500000000000028,2013-11-17T00:00:00,3.0963566303253174
155,15.5,-15.500000000000028,2013-12-17T00:00:00,1.2519618272781372
156,15.5,-15.500000000000028,2014-01-16T00:00:00,-0.0298647545278072
157,15.5,-15.500000000000028,2014-02-16T00:00:00,-1.1222048997879028
158,15.5,-15.500000000000028,2014-03-18T00:00:00,-2.092606544494629
159,15.5,-15.500000000000028,2014-04-18T00:00:00,-2.8083605766296387
160,15.5,-15.500000000000028,2014-05-18T00:00:00,-3.25465989112854
161,15.5,-15.500000000000028,2014-06-18T00:00:00,1.3646434545516968
162,15.5,-15.500000000000028,2014-07-18T00:00:00,8.929356575012207
163,15.5,-15.500000000000028,2014-08-18T00:00:00,8.051405906677246
164,15.5,-15.500000000000028,2014-09-17T00:00:00,8.668824195861816
165,15.5,-15.500000000000028,2014-10-18T00:00:00,9.757160186767578
166,15.5,-15.500000000000028,2014-11-17T00:00:00,7.493000030517578
167,15.5,-15.500000000000028,2014-12-17T00:00:00,4.066402435302734
168,15.5,-15.500000000000028,2015-01-16T00:00:00,1.8629508018493648
