,axis:time0_lat_lon:latitude,axis:time0_lat_lon:longitude,axis:time0_lat_lon:time,axis:time0_lat_ocean_lon_ocean:latitude,axis:time0_lat_ocean_lon_ocean:longitude,axis:time0_lat_ocean_lon_ocean:time,axis:time1_lat_lon:latitude,axis:time1_lat_lon:longitude,axis:time1_lat_lon:time,data:air_pressure_at_mean_sea_level,data:air_temperature_at_2_metres,data:air_temperature_at_2_metres_1hour_Maximum,data:air_temperature_at_2_metres_1hour_Minimum,data:dew_point_temperature_at_2_metres,data:eastward_wind_at_100_metres,data:eastward_wind_at_10_metres,data:integral_wrt_time_of_surface_direct_downwelling_shortwave_flux_in_air_1hour_Accumulation,data:lwe_thickness_of_surface_snow_amount,data:northward_wind_at_100_metres,data:northward_wind_at_10_metres,data:precipitation_amount_1hour_Accumulation,data:sea_surface_temperature,data:sea_surface_wave_from_direction,data:sea_surface_wave_mean_period,data:significant_height_of_wind_and_swell_waves,data:snow_density,data:surface_air_pressure
97,15.5,-15.500000000000028,1979-01-05T01:00:00,,,,,,,100903.125,293.75,,,276.1875,1.4375,1.125,,0.0,-5.75,-2.1875,,,,,,100.0,100426.859375
98,15.5,-15.500000000000028,1979-01-05T02:00:00,,,,,,,100884.4375,294.0625,,,276.5625,1.3125,1.125,,0.0,-5.75,-2.3125,,,,,,100.0,100407.1015625
99,15.5,-15.500000000000028,1979-01-05T03:00:00,,,,,,,100846.9375,289.3125,,,274.375,1.3125,1.125,,0.0,-5.8125,-2.3125,,,,,,100.0,100369.8515625
100,15.5,-15.500000000000028,1979-01-05T04:00:00,,,,,,,100834.5,288.9375,,,275.125,1.1875,1.0625,,0.0,-5.8125,-2.3125,,,,,,100.0,100356.5625
101,15.5,-15.500000000000028,1979-01-05T05:00:00,,,,,,,100875.5,288.625,,,275.25,1.25,1.0625,,0.0,-5.6875,-2.1875,,,,,,100.0,100398.3828125
102,15.5,-15.500000000000028,1979-01-05T06:00:00,,,,,,,100901.4375,288.4375,,,274.5625,1.1875,1.0,,0.0,-5.5,-2.0625,,,,,,100.0,100423.140625
103,15.5,-15.500000000000028,1979-01-05T07:00:00,,,,,,,100943.0,288.25,,,274.3125,1.0,0.9375,,0.0,-5.0625,-1.9375,,,,,,100.0,100464.8671875
104,15.5,-15.500000000000028,1979-01-05T08:00:00,,,,,,,100936.0,288.375,,,274.5,0.3125,0.625,,0.0,-4.5,-1.8125,,,,,,100.0,100457.2578125
105,15.5,-15.500000000000028,1979-01-05T09:00:00,,,,,,,100978.5,292.75,,,272.4375,-0.0625,0.4375,,0.0,-4.0,-2.0625,,,,,,100.0,100498.6875
106,15.5,-15.500000000000028,1979-01-05T10:00:00,,,,,,,101031.0625,301.4375,,,270.1875,0.375,0.375,,0.0,-3.3125,-2.4375,,,,,,100.0,100551.0078125
107,15.5,-15.500000000000028,1979-01-05T11:00:00,,,,,,,101045.0625,301.9375,,,272.5,-0.0625,0.0,,0.0,-2.875,-2.3125,,,,,,100.0,100566.1953125
108,15.5,-15.500000000000028,1979-01-05T12:00:00,,,,,,,100954.8125,302.125,,,274.625,-0.3125,-0.25,,0.0,-2.125,-1.8125,,,,,,100.0,100479.296875
109,15.5,-15.500000000000028,1979-01-05T13:00:00,,,,,,,100823.875,302.25,,,276.0,0.0625,0.0625,,0.0,-1.3125,-1.125,,,,,,100.0,100349.359375
110,15.5,-15.500000000000028,1979-01-05T14:00:00,,,,,,,100702.4375,302.375,,,276.75,0.875,0.75,,0.0,-0.1875,-0.25,,,,,,100.0,100229.765625
111,15.5,-15.500000000000028,1979-01-05T15:00:00,,,,,,,100597.25,304.5,,,274.3125,2.1875,1.8125,,0.0,0.1875,0.0625,,,,,,100.0,100125.359375
112,15.5,-15.500000000000028,1979-01-05T16:00:00,,,,,,,100541.4375,304.6875,,,274.375,3.1875,2.625,,0.0,0.125,0.0,,,,,,100.0,100070.609375
113,15.5,-15.500000000000028,1979-01-05T17:00:00,,,,,,,100583.875,304.8125,,,274.0625,3.875,3.125,,0.0,-0.1875,-0.1875,,,,,,100.0,100112.421875
114,15.5,-15.500000000000028,1979-01-05T18:00:00,,,,,,,100600.9375,304.8125,,,275.0625,4.4375,2.5,,0.0,-1.125,-0.6875,,,,,,100.0,100129.421875
115,15.5,-15.500000000000028,1979-01-05T19:00:00,,,,,,,100669.1875,304.1875,,,274.9375,5.4375,2.5,,0.0,-3.25,-1.4375,,,,,,100.0,100196.2734375
116,15.5,-15.500000000000028,1979-01-05T20:00:00,,,,,,,100756.25,301.5,,,275.625,5.4375,2.75,,0.0,-5.25,-2.375,,,,,,100.0,100281.0859375
117,15.5,-15.500000000000028,1979-01-05T21:00:00,,,,,,,100840.0625,296.4375,,,279.875,5.0625,2.75,,0.0,-6.3125,-3.0625,,,,,,100.0,100363.421875
118,15.5,-15.500000000000028,1979-01-05T22:00:00,,,,,,,100921.375,293.75,,,282.375,4.6875,2.6875,,0.0,-6.8125,-3.5625,,,,,,100.0,100442.765625
119,15.5,-15.500000000000028,1979-01-05T23:00:00,,,,,,,100937.0,292.875,,,284.5,4.3125,2.5625,,0.0,-6.3125,-3.375,,,,,,100.0,100455.71875
120,15.5,-15.500000000000028,1979-01-06T00:00:00,,,,,,,100965.875,291.875,,,286.0625,3.9375,2.375,,0.0,-5.625,-3.0,,,,,,100.0,100483.4140625
121,15.5,-15.500000000000028,1979-01-06T01:00:00,,,,,,,100913.125,291.5,,,286.875,3.4375,2.0,,0.0,-5.0,-2.5625,,,,,,100.0,100430.515625
122,15.5,-15.500000000000028,1979-01-06T02:00:00,,,,,,,100892.375,291.4375,,,287.3125,2.875,1.625,,0.0,-4.8125,-2.375,,,,,,100.0,100409.4375
123,15.5,-15.500000000000028,1979-01-06T03:00:00,,,,,,,100865.625,288.75,,,286.5625,2.75,1.75,,0.0,-4.875,-2.75,,,,,,100.0,100382.640625
124,15.5,-15.500000000000028,1979-01-06T04:00:00,,,,,,,100848.9375,288.625,,,287.5625,2.875,1.8125,,0.0,-5.375,-3.0625,,,,,,100.0,100365.203125
125,15.5,-15.500000000000028,1979-01-06T05:00:00,,,,,,,100921.5,288.625,,,288.0,2.5,1.625,,0.0,-5.4375,-3.25,,,,,,100.0,100436.7109375
126,15.5,-15.500000000000028,1979-01-06T06:00:00,,,,,,,100934.625,288.9375,,,288.375,2.0,1.25,,0.0,-5.3125,-3.0625,,,,,,100.0,100450.6171875
127,15.5,-15.500000000000028,1979-01-06T07:00:00,,,,,,,101018.75,289.5,,,288.6875,1.4375,0.9375,,0.0,-5.0,-3.125,,,,,,100.0,100532.953125
128,15.5,-15.500000000000028,1979-01-06T08:00:00,,,,,,,101049.6875,289.4375,,,288.5625,0.875,0.5625,,0.0,-4.5625,-2.9375,,,,,,100.0,100565.0390625
129,15.5,-15.500000000000028,1979-01-06T09:00:00,,,,,,,101116.3125,291.0,,,288.5625,0.5625,0.375,,0.0,-4.8125,-3.75,,,,,,100.0,100631.6171875
